"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
38932b0c,,22,
382cdde5,index,63,33.978
38841a01,index,15,50.644
b7d0234d,explore,42,138.722
b7c0defa,welcome,116,42.228
b887e1af,index,25,74.598
b8bc1a7b,query,132,369.344
b8b84ca8,,93,
37869704,,67,
b90b86fa,,124,
395ee12f,query,113,357.138
b8c6bc84,explore,74,110.165
b8cc43ac,welcome,34,16.084
b8e809a5,welcome,128,28.557
b90b86fa,index,12,33.568
37b9d3d1,query,17,346.603
b98ebec4,query,130,486.504
3871c9ff,explore,39,102.058
391a72ed,index,54,30.465
38b245f2,explore,26,93.870
3905a421,explore,104,155.744
39769f6a,welcome,7,30.428
b943b405,query,209,314.543
b91ca70c,,47,
38a7e8b2,query,61,397.120
36955bd2,query,112,387.822
b90dcc0e,index,4,44.653
38ef1e28,query,75,333.259
b9159ef1,welcome,61,23.460
b823c5dd,index,20,63.385
38b245f2,,187,
38362dc7,index,42,63.147
b8a3e272,welcome,25,35.736
b90fff3f,index,18,27.252
391ca174,query,136,417.767
38e4b42d,welcome,10,36.770
b8a687ac,,10,
3828a5b7,explore,37,106.092
39044f87,explore,156,72.494
386c9c39,query,54,378.768
38f48a17,explore,22,126.503
37f13d8f,query,114,303.589
38b94579,query,52,313.574
3715e55a,query,245,369.510
37fb1a4f,welcome,11,27.120
38156a17,query,249,426.964
b894aeb7,query,57,354.004
b911a261,explore,57,86.291
b897ffb8,explore,201,82.023
b86e62d2,welcome,29,33.615
37f8075c,,10,
38b947b1,welcome,12,27.066
b90d7af7,welcome,43,15.792
38caddaf,query,20,435.782
395ee12f,explore,257,109.016
37ad6b5d,query,147,413.320
36e6f771,index,18,30.853
38f57621,welcome,109,30.302
b8e809a5,explore,169,222.409
b8b7f4ed,query,67,403.089
39083bce,welcome,125,26.926
b8bc1a7b,query,315,450.016
39069c3a,index,35,62.128
384ca519,index,11,37.223
b8a687ac,query,124,426.753
38dfa65c,query,92,300.217
3872fffb,query,42,442.295
b90b86fa,explore,22,114.071
3884e874,query,36,364.154
b8793ac8,query,157,363.593
36900b7e,explore,22,114.538
b7d0234d,explore,34,39.987
37d0b1aa,,152,
b887e1af,query,17,332.126
394d0a93,,102,
37116eb3,query,76,395.653
37c1f52a,welcome,7,39.356
b8817b4a,query,17,369.874
3950974b,welcome,29,18.472
38b245f2,query,56,344.124
38ec0790,welcome,31,31.568
b8b7f4ed,explore,67,75.276
390d47b7,welcome,7,28.416
37b3e1af,explore,371,99.856
36e6f771,query,63,377.060
37f8dca3,explore,22,157.301
b892068e,query,91,386.484
3828a5b7,query,17,363.978
b914fb40,welcome,98,28.535
b8ca5cd7,query,39,281.796
38a654ac,query,153,465.556
38ac9e6f,,149,
b8b7f4ed,explore,57,184.323
38e6b63d,index,30,57.412
381e19e6,explore,72,122.569
38c373ed,welcome,13,47.669
b823c5dd,welcome,43,35.585
37f7179a,index,11,40.268
342ebe5e,index,41,35.819
b818a1d2,explore,104,95.788
b85d4e3f,explore,139,108.703
381b8f82,,69,
38a654ac,query,17,397.479
b8f4d4c6,query,24,386.390
38e6b63d,explore,22,160.429
398ebab9,welcome,33,38.144
b90d7af7,explore,200,131.174
398ebab9,,23,
3935a21e,index,23,58.255
b929d638,explore,159,144.886
b8653385,explore,22,64.944
37bea6f2,query,17,241.888
395ee12f,welcome,81,28.795
38a906dd,explore,322,31.305
38a7e8b2,query,354,439.736
b92ac6bf,query,93,284.246
b8bb093a,query,25,394.499
37c4e20d,query,96,438.163
b8e095e6,explore,63,91.012
b78fbcf0,index,5,59.022
b7e15902,index,4,67.411
3874ae7f,query,102,413.617
b8122da4,welcome,9,36.370
37ac3bea,index,10,42.633
b8382c2e,,65,
b93623f6,query,190,386.053
b894aeb7,query,57,322.126
383cd1a5,explore,151,60.636
37116eb3,,176,
38ef1e28,query,17,405.492
b84b1ec3,explore,117,189.426
b943b405,index,20,51.177
38965f23,index,4,48.357
b9810c54,index,22,49.283
b8948bbd,,17,
38362dc7,query,22,384.401
b867dc5a,query,20,355.728
38b1d420,query,69,260.134
38697116,query,72,389.903
3786d738,query,68,327.546
37116eb3,query,61,355.077
b85d47a6,query,70,424.798
b8793ac8,explore,22,178.710
b8419b59,,30,
b887e1af,explore,96,103.682
b8c4aed5,index,11,63.223
388ec167,welcome,118,29.504
b883ec2a,explore,34,105.916
37d722c7,explore,92,58.127
b823c5dd,explore,64,166.290
b8e2116b,explore,164,53.317
37f7179a,index,7,46.634
38d230de,query,75,393.680
b8425e7c,explore,22,78.630
3915c65c,query,17,330.826
b7c0defa,query,33,317.283
37869704,index,4,44.406
b8d572b8,welcome,26,36.596
b9599a64,explore,162,129.964
38cc2669,query,67,326.971
b5a1784c,query,19,424.344
3958d084,query,40,411.757
37b3e1af,welcome,85,27.017
388a2967,query,22,389.353
b8a1cb67,explore,711,164.403
38257ba4,explore,24,166.611
b8c1fbac,explore,109,139.798
b8bc1a7b,welcome,34,7.795
37d0b1aa,explore,22,111.960
b887e1af,welcome,38,42.596
3915c65c,query,23,387.505
b823c5dd,query,17,153.266
b90eaa9e,explore,173,136.065
37874df2,welcome,20,24.712
b892068e,query,17,299.625
b8ca5cd7,explore,227,76.594
b8aa3018,explore,27,89.492
3950974b,query,27,449.063
395ee12f,query,69,401.760
b7f72be4,welcome,8,28.260
38b94579,query,17,367.497
38b8786a,explore,466,88.982
36e6f771,,10,
37d722c7,query,104,320.338
b894aeb7,welcome,62,22.826
381e19e6,welcome,19,42.717
b8fec97d,explore,22,79.015
b8d33c36,explore,208,125.239
393dfc60,query,67,456.529
38edceae,index,21,67.509
b7b8836b,explore,159,112.133
38c373ed,welcome,44,24.513
b7d0234d,query,32,553.671
38c76558,query,110,325.315
38b947b1,index,4,25.213
38a654ac,query,44,319.244
37625f95,index,4,76.005
3711ba7f,,32,
b7096a1b,welcome,71,21.584
363a51ea,query,17,331.257
b80eb039,explore,172,110.780
37d722c7,explore,61,118.664
384246ca,index,4,44.485
b878fc6f,explore,505,133.639
3830dba8,index,10,72.453
38bad002,explore,62,67.652
38e8133d,welcome,41,34.024
b8948bbd,index,7,46.999
38257669,query,115,473.557
b8b84ca8,query,17,428.658
b8e12e6e,welcome,61,23.342
38abd294,query,111,450.269
b841c8dc,query,108,389.149
3745cf59,,39,
36954c40,index,14,50.404
b8688818,query,29,408.100
37f8dca3,explore,96,117.641
38a906dd,query,30,314.423
b956c43b,explore,26,156.541
b94ebcb4,welcome,47,38.889
38c373ed,query,106,413.818
36900b7e,explore,146,164.902
b8a3e272,welcome,7,22.048
b9649b34,explore,34,126.318
b8a1cb67,,22,
37e48182,query,155,452.773
b8948bbd,query,105,434.820
b89767e9,,64,
38f0d551,index,4,46.399
b8b84ca8,query,26,464.268
35c181e1,explore,31,62.138
38db6d7a,query,88,305.706
b8793ac8,query,249,416.776
37f7179a,explore,161,22.574
3711ba7f,query,88,373.705
b81d2775,,84,
3871c9ff,query,19,330.237
3872fffb,query,17,400.517
390b2f2f,welcome,24,27.767
382cdde5,welcome,35,12.565
b8bb093a,explore,41,122.493
37c357dc,query,49,374.874
b843e013,query,60,382.847
37874df2,welcome,7,33.932
387a1bb9,explore,22,146.370
b90615ce,query,59,321.434
35f8c3c6,query,24,522.255
b5a47725,explore,74,88.223
359b733f,query,106,340.071
b8a1cb67,query,17,384.649
382cdde5,index,4,41.131
b6032e7d,welcome,7,11.183
b9810c54,explore,83,122.979
358c9a0c,query,68,358.991
b7f72be4,index,4,63.251
38902478,,29,
37d549f5,query,155,347.590
b8b92cf9,welcome,22,15.291
38d230de,query,17,364.804
38ef1e28,query,43,349.796
b8d33c36,explore,334,37.221
37ac3bea,explore,22,204.902
3815097f,query,55,359.131
38e8f839,explore,22,57.819
b5a1784c,query,90,449.159
39065b99,explore,246,116.139
b9176de7,query,34,471.917
b84abd42,explore,22,69.813
39946190,explore,24,122.500
b8986c50,query,99,354.796
b7096a1b,explore,70,122.499
384246ca,explore,22,82.340
b8f4d4c6,query,34,333.802
b84d68fe,explore,83,85.249
b8a687ac,explore,22,93.412
39044f87,query,83,394.311
b9441603,welcome,18,29.109
b818fcb7,welcome,29,30.184
b8e095e6,explore,87,134.441
374c2ca8,welcome,138,37.201
b8948bbd,explore,40,48.306
38ef1e28,query,304,344.325
36955bd2,query,91,389.405
381e19e6,welcome,30,31.260
b787821d,query,17,351.766
3786d738,query,35,439.766
b90998fb,welcome,7,31.324
b8837647,explore,22,160.922
b905f723,welcome,43,35.147
391aba67,index,6,39.869
b9691e6e,,51,
391aba67,query,19,440.761
390d47b7,explore,23,173.863
b917e5cd,welcome,7,26.755
36900b7e,,10,
b84aefa1,explore,22,61.343
b90615ce,explore,31,194.806
b8986c50,explore,49,110.514
b8c1fbac,index,6,63.886
b7d66c06,index,9,64.796
38bad002,welcome,61,40.975
b9649b34,index,4,58.124
b9329f10,welcome,56,28.350
b8cc43ac,welcome,7,26.075
b8b84ca8,explore,22,7.838
389cc83d,index,71,72.010
b787821d,explore,22,146.190
37874df2,,29,
b9001574,query,157,394.664
39946190,explore,34,104.932
38e1bb0f,explore,181,114.610
b85e23f1,explore,427,127.454
38abd294,query,17,448.070
38c76558,query,79,455.905
38b947b1,query,187,326.985
38a7f199,welcome,18,17.769
3715e55a,index,25,67.047
b8122da4,welcome,15,35.758
b7c0e8b3,welcome,12,46.535
b843e013,query,120,411.618
b8a5d080,index,7,45.685
b8425e7c,index,14,30.740
b93becd3,explore,27,143.292
3910d2e4,welcome,42,29.869
b78d617e,query,17,416.154
b5503f5d,index,7,65.610
38abd294,index,20,56.823
37b9d3d1,query,139,328.930
b8419b59,query,17,468.504
b7d5ed7a,index,52,59.917
b85e23f1,query,73,362.266
35af9b86,,145,
b82f3b00,index,14,41.195
3905a421,welcome,7,27.991
38e8f839,welcome,24,18.403
b7d8daa1,explore,264,130.542
b78d617e,query,68,396.812
386384b2,index,14,27.606
b81c56df,explore,22,124.374
384ca519,explore,175,192.428
b7d66c06,explore,22,89.963
37f13d8f,welcome,45,34.587
b81c56df,explore,248,113.562
b8a687ac,explore,323,105.878
38ef1e28,explore,85,77.585
3886df93,,10,
390d47b7,explore,64,135.686
37fc47bb,query,86,398.893
b78d617e,welcome,13,41.228
b8ca5cd7,query,76,302.474
35c181e1,query,322,387.983
b89767e9,,65,
b883ec2a,query,238,247.700
38c25a91,query,17,407.542
38cd9330,query,17,326.589
b9001574,query,39,374.655
3898c996,explore,22,96.588
38e4b42d,query,87,328.777
b8447d62,explore,22,142.835
b8d572b8,query,45,400.584
38aa9764,explore,113,150.955
36e6f771,,72,
b867dc5a,query,17,297.511
38ec0790,query,94,350.665
b7d8daa1,query,209,308.929
3815097f,index,4,50.851
3830dba8,query,172,403.040
38563a7f,,67,
b916f5ba,query,123,435.894
b943b405,index,5,75.087
b88d3fab,explore,192,62.870
b818a1d2,index,27,32.382
b894aeb7,,79,
b8fec97d,,19,
b7c0defa,query,88,378.930
38cd9330,welcome,34,19.682
b82434b6,index,14,69.170
398ebab9,,39,
b5503f5d,index,19,53.131
b8c1fbac,query,88,437.131
b7f001d1,query,149,433.547
36900b7e,explore,139,170.088
35c181e1,explore,45,125.311
38505b86,,19,
b8808ae4,query,21,373.817
b916f5ba,welcome,71,21.391
b9001574,query,17,428.164
b80cd3d8,welcome,71,15.563
b7e37343,query,26,437.723
3958d084,query,45,259.022
b7f72be4,explore,73,90.291
b914fb40,explore,44,162.861
b7b8836b,welcome,64,20.907
b7d66c06,query,131,375.693
390dff6a,query,294,361.647
b907939e,explore,41,126.618
b8a5d080,welcome,28,29.920
b8cfe070,explore,79,138.713
3831c504,index,8,46.638
b93990cd,query,110,371.960
b90dcc0e,index,4,59.859
391aba67,query,216,346.926
381b8f82,query,280,334.675
383cd1a5,query,137,404.160
38965f23,index,28,52.765
b84594ca,welcome,20,34.692
b7d8daa1,explore,248,175.707
38f6f67d,welcome,172,53.326
38aa9764,explore,22,57.968
381e19e6,,13,
b8a7b3e1,query,154,364.679
3807084e,welcome,71,27.630
b89c9a7d,explore,108,117.526
38c76558,welcome,47,28.778
389cc83d,explore,22,102.701
390bfc6f,welcome,58,35.125
b8bb093a,explore,160,141.012
b90dcc0e,query,249,431.366
38bad002,welcome,51,40.810
398ebab9,welcome,7,19.944
b90b6149,explore,236,132.285
b90d7af7,explore,22,57.346
38916f1a,query,191,378.944
38a7f199,query,113,346.308
b86d5dbd,explore,22,125.632
b7ab0e84,explore,92,76.670
37ac3bea,explore,198,108.218
36e6f771,query,116,330.616
37b77952,,12,
b779a771,query,36,344.622
38cd9330,welcome,42,31.810
395f2209,,81,
b787821d,explore,386,113.075
38b8786a,query,22,436.596
b9033768,query,118,387.313
38114720,explore,315,105.098
3887c4bf,,40,
b883ec2a,explore,22,119.123
b878fc6f,,22,
b8bbc92e,welcome,19,41.283
3915c65c,explore,45,149.263
3925ba95,explore,95,139.889
b8a2a70e,index,13,45.813
b8122da4,explore,52,152.006
38d55191,explore,333,135.217
b8e809a5,explore,43,180.360
b98bba62,welcome,28,24.437
b90dcc0e,query,83,365.666
359b733f,welcome,31,27.476
3874ae7f,query,17,479.846
39069c3a,query,142,475.288
b8fa8577,query,63,472.484
388ec167,welcome,99,29.976
b9001574,query,17,356.195
b87c1d9b,query,17,406.049
38d3372b,query,17,405.497
b8cc43ac,query,347,291.222
39083bce,query,75,403.198
b8bb093a,index,33,49.352
b8f78219,query,104,419.888
b8ef90e3,query,75,389.550
37d722c7,welcome,101,26.624
b988c693,query,83,410.193
38d230de,welcome,15,28.408
38932b0c,query,17,401.438
b871bf8d,explore,126,70.679
37d0b1aa,explore,24,102.743
b93623f6,query,55,460.216
b8b7f4ed,query,32,258.148
390dff6a,explore,87,169.056
39248759,query,17,415.589
b883ec2a,explore,31,20.714
386b32b6,query,103,380.783
38965f23,query,40,313.642
b9176de7,index,29,50.851
b85d4e3f,explore,399,16.870
37d8bdb5,query,17,328.153
38011cf5,query,17,382.660
38db6d7a,explore,136,105.489
b818a1d2,welcome,11,47.494
b9033768,welcome,11,14.296
384246ca,explore,22,96.497
387598a7,query,36,431.296
b84d68fe,query,17,453.093
37d722c7,,123,
389cc83d,query,31,359.738
38e3ee0f,query,43,365.422
b8808ae4,welcome,9,35.146
b8cc43ac,welcome,10,33.010
37869704,index,52,58.220
b8856ddc,query,126,324.927
b95144b9,welcome,36,12.422
b8aa3018,explore,68,26.923
37f7179a,explore,22,98.054
37f8075c,,76,
38e4b42d,explore,22,138.915
39769f6a,query,17,467.812
39069c3a,welcome,7,27.012
b8b84ca8,,24,
36b84dc0,,36,
37625f95,welcome,68,22.147
b871bf8d,query,50,383.382
b8948bbd,query,137,449.974
b8cfe070,explore,107,122.966
b89767e9,welcome,51,26.915
b8b92cf9,query,331,431.221
b86d5dbd,index,15,45.697
37d8bdb5,index,45,42.744
b8e095e6,query,130,321.551
37f13d8f,explore,165,219.098
37869704,welcome,30,27.912
388a2967,,22,
3909104a,index,9,56.653
38d3372b,query,56,422.779
38cc2669,,41,
b8a12480,query,73,478.736
37c357dc,query,17,395.371
378f49a4,explore,81,109.801
b82f3b00,explore,104,148.854
b90998fb,index,7,33.064
38563a7f,query,123,399.019
38e3ee0f,query,17,325.154
b8cfe070,query,57,347.282
b89a2926,query,74,439.516
b843e013,welcome,7,32.824
37c2ec4e,explore,140,135.384
b8793ac8,query,96,396.804
b8bc1a7b,explore,22,15.395
b8a4310c,welcome,135,32.319
38e8133d,welcome,8,24.248
b62ec66f,explore,163,83.305
b8a5d080,,10,
b89a2926,,17,
b8808ae4,,18,
3715e55a,index,5,47.256
36e6f771,welcome,34,39.902
b8fec97d,explore,22,134.467
b9033768,index,4,36.528
b9001574,explore,41,94.076
b93cb6bd,welcome,107,25.013
38a8053a,explore,44,103.045
36e6f771,,77,
38886257,index,4,55.276
b8cac1a5,welcome,7,45.624
38e0d141,explore,42,108.030
b84594ca,,99,
38f26f07,index,4,39.636
b8e12e6e,explore,22,31.694
b8a1cb67,query,59,478.945
b7d5ed7a,welcome,19,41.359
b8ef90e3,welcome,19,40.915
b917e5cd,,112,
b5503f5d,query,201,338.361
b8b7f4ed,welcome,7,42.563
b7f3e9fd,index,11,58.746
b8cc43ac,explore,289,69.730
38973351,query,113,422.523
38505b86,explore,37,129.576
b82f3b00,explore,294,54.668
38d5f87c,query,46,287.591
b90998fb,index,6,44.226
38e8133d,query,56,440.657
b8aa3018,,44,
38caddaf,explore,77,129.780
b94ebcb4,explore,56,69.880
38aa9764,explore,87,122.179
b779a771,welcome,80,21.769
3830dba8,explore,227,136.399
391a72ed,query,47,347.070
b78d617e,,31,
39065b99,index,4,43.025
b806dd03,query,74,399.607
39248759,explore,32,161.815
37f8dca3,explore,22,93.239
b8f4d4c6,,10,
b8d7325b,query,17,447.115
b8c6bc84,explore,22,137.274
b8d7325b,query,69,384.961
3950974b,explore,51,58.281
b85d4e3f,query,373,454.757
38b245f2,explore,176,114.945
b93becd3,query,134,417.750
b8c6bc84,query,45,397.277
387a1bb9,index,19,37.642
b98bba62,explore,102,93.469
b84594ca,explore,90,108.777
38a654ac,query,22,259.705
3887c4bf,explore,52,67.052
b8b84ca8,welcome,19,22.819
384bd788,explore,22,42.385
b7b8836b,welcome,7,33.223
3900f216,explore,27,130.571
b89a2926,welcome,7,34.314
b818a1d2,explore,74,111.407
38c76558,explore,170,136.660
b818a1d2,,111,
3950974b,explore,32,144.315
b878fc6f,query,180,411.567
38b1d420,welcome,49,29.757
3871c9ff,query,201,283.950
39083bce,query,65,280.799
b90dcc0e,query,29,342.620
3900f216,query,163,400.702
b8a3e272,query,17,369.215
342ebe5e,query,17,411.040
384bd788,welcome,33,23.391
37f8dca3,welcome,21,36.591
b80cd3d8,welcome,30,37.280
b818a1d2,explore,61,117.187
b90bbb27,explore,22,54.459
39210a9f,query,178,350.026
b894aeb7,query,26,457.193
38d3372b,query,106,354.578
388dafc8,query,144,251.164
b956c43b,query,125,372.021
b875edba,welcome,50,18.600
b8e12e6e,explore,220,177.353
38a6eb8d,query,105,334.469
b8425e7c,welcome,54,41.745
b8c01be8,explore,209,98.397
395f2209,index,35,44.664
b8aa3018,query,309,320.790
b659c57c,welcome,66,25.793
37b718a2,explore,68,138.965
b8948bbd,welcome,91,24.632
b8c1fbac,index,21,70.692
b867dc5a,welcome,109,29.601
38f26f07,,106,
390bfc6f,query,81,324.837
38f48a17,query,17,363.153
37f13d8f,query,201,360.089
36955bd2,query,35,454.244
b916f5ba,index,22,29.498
390bfc6f,query,52,309.242
b823c5dd,explore,44,179.431
3887c4bf,welcome,7,11.568
38b1d420,query,301,270.812
363a51ea,explore,63,150.872
395ee12f,explore,64,106.332
38748001,,41,
b8c01be8,query,17,452.822
391ca174,query,69,350.335
38aa93e0,welcome,89,31.173
b8be6444,query,36,329.676
38ac9e6f,welcome,7,38.041
36900b7e,query,66,456.821
38f48a17,explore,22,178.672
37fb1a4f,query,17,412.495
382e7d35,explore,22,27.662
382cdde5,welcome,33,31.744
b89e1d64,welcome,30,37.260
b9649b34,query,46,290.390
38a6eb8d,query,133,347.180
b8b84ca8,index,4,62.621
39413b27,index,34,39.763
3812d36d,index,40,54.985
37874df2,welcome,60,26.959
38b947b1,query,74,423.241
b9810c54,query,37,390.417
38011cf5,welcome,88,22.210
3915c65c,query,47,371.976
36e6f771,query,69,270.385
b878fc6f,welcome,56,33.644
b8bc1a7b,query,711,405.052
38b947b1,query,167,429.041
390d47b7,query,237,454.345
b726a7b0,explore,444,126.488
38932b0c,query,25,305.701
b90b86fa,welcome,60,21.418
b7ab3227,index,7,33.657
b82434b6,query,142,303.648
38b1d420,welcome,41,19.760
b82f3b00,explore,60,78.972
b85d47a6,query,19,266.049
b8877362,explore,305,68.569
38b947b1,query,244,443.064
b90b86fa,query,20,407.883
b8a9be6c,explore,375,149.150
38f0d551,query,92,408.624
b90615ce,explore,121,112.374
38cc2669,explore,181,74.172
388dafc8,explore,139,144.738
b5a47725,query,96,410.828
38caddaf,explore,116,113.481
b82434b6,query,464,383.176
39210a9f,index,18,59.057
39491dc0,index,7,46.759
39385215,query,139,457.488
390dff6a,query,243,412.931
b7d5ed7a,query,122,389.897
b8c1fbac,query,87,369.671
391a72ed,welcome,23,29.400
358c9a0c,query,17,296.045
b8d7325b,explore,166,63.338
b88d3fab,query,95,349.675
b916f5ba,index,4,63.294
